hour,day_of_week,weather,temperature,traffic_volume
6,6,Clear,38,233
13,6,Rain,38,459
22,1,Rain,38,379
20,0,Fog,23,407
9,1,Clear,34,897
2,5,Clear,37,319
16,5,Clear,30,162
1,2,Fog,32,493
1,4,Clear,33,234
10,2,Fog,31,279
2,0,Fog,23,560
17,4,Rain,26,1107
11,4,Clear,35,291
9,4,Clear,36,787
7,0,Fog,33,943
9,2,Clear,29,755
6,1,Rain,29,519
3,1,Fog,39,545
1,0,Fog,38,548
9,1,Clear,35,841
19,4,Rain,24,1016
11,6,Clear,20,390
1,0,Clear,25,273
22,2,Rain,36,590
23,0,Rain,23,455
7,4,Rain,22,1157
22,3,Rain,35,369
10,1,Rain,33,551
2,4,Rain,33,566
11,2,Fog,34,540
17,0,Fog,36,1087
17,5,Rain,32,656
19,1,Rain,33,1092
14,5,Clear,39,226
16,0,Clear,39,487
10,0,Rain,36,534
8,1,Clear,22,870
19,5,Clear,21,540
15,0,Rain,38,563
22,4,Rain,31,579
13,3,Fog,29,361
15,6,Rain,26,387
4,5,Rain,28,430
8,5,Clear,35,550
9,3,Fog,24,831
14,1,Fog,29,469
17,0,Clear,30,995
18,5,Clear,38,712
5,1,Rain,31,335
14,0,Rain,32,618
15,2,Fog,38,518
13,0,Fog,27,357
8,4,Rain,29,973
17,5,Rain,32,904
1,6,Fog,34,445
14,1,Clear,21,212
12,1,Clear,28,484
0,3,Fog,21,536
17,5,Fog,21,630
0,6,Fog,32,447
22,4,Clear,25,411
22,6,Fog,23,219
18,4,Clear,34,776
9,0,Clear,26,774
14,6,Clear,34,118
21,3,Clear,20,253
23,6,Fog,26,297
8,3,Clear,39,925
20,1,Fog,29,498
11,2,Clear,33,467
15,5,Clear,34,335
11,4,Fog,37,525
18,3,Clear,35,733
1,0,Rain,31,448
17,0,Fog,24,1070
10,0,Fog,39,493
10,4,Fog,27,382
13,5,Clear,21,184
10,0,Rain,27,471
6,0,Rain,29,502
1,5,Clear,26,163
3,2,Fog,31,434
19,3,Clear,39,582
18,3,Fog,30,793
23,0,Fog,22,566
14,3,Clear,34,423
23,0,Clear,20,221
14,6,Rain,24,266
3,1,Fog,29,482
16,0,Fog,39,510
13,2,Clear,31,204
4,1,Rain,35,424
20,5,Clear,21,131
23,3,Rain,26,487
21,3,Fog,21,553
17,6,Clear,38,669
12,4,Clear,34,348
21,2,Clear,23,352
2,6,Rain,28,364
23,4,Clear,31,295
0,1,Fog,35,544
13,3,Clear,22,452
6,4,Rain,38,428
21,5,Clear,24,162
14,3,Clear,30,458
6,1,Fog,35,417
21,6,Rain,39,429
10,0,Clear,24,453
4,0,Rain,20,623
16,0,Fog,33,372
22,0,Clear,31,418
4,2,Fog,31,572
2,5,Fog,25,245
14,0,Rain,31,533
15,1,Rain,35,421
20,3,Rain,33,623
21,0,Fog,27,466
3,0,Clear,29,495
0,3,Clear,30,379
21,0,Fog,36,405
8,1,Clear,25,801
15,1,Clear,38,294
7,4,Fog,24,914
10,1,Clear,38,452
9,6,Fog,23,822
23,6,Rain,34,353
20,4,Rain,23,458
1,5,Fog,27,243
20,1,Clear,29,367
3,3,Fog,20,421
20,0,Rain,25,474
23,3,Fog,34,393
11,3,Clear,23,342
0,2,Rain,37,576
5,5,Clear,36,350
1,6,Fog,28,436
13,3,Clear,33,214
16,0,Clear,21,422
7,1,Clear,23,855
8,4,Clear,25,890
11,6,Clear,24,191
10,4,Rain,33,528
13,1,Fog,32,410
11,2,Clear,37,480
2,0,Rain,25,642
8,3,Fog,22,798
2,2,Clear,20,335
9,4,Rain,28,1008
14,3,Rain,39,533
15,5,Rain,39,253
20,1,Rain,33,356
